2026-03-26 17:13:53.778 [info] Starting Excalidraw MCP server...
2026-03-26 17:13:53.789 [debug] Connecting to transport...
2026-03-26 17:13:53.792 [info] Excalidraw MCP server running on stdio
2026-03-26 17:13:53.845 [info] Listing available tools
2026-04-05 13:02:18.666 [info] Starting Excalidraw MCP server...
2026-04-05 13:02:18.672 [debug] Connecting to transport...
2026-04-05 13:02:18.679 [info] Excalidraw MCP server running on stdio
2026-04-05 13:02:18.723 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.725 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.726 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.727 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.728 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.729 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.731 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.737 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.741 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.743 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.743 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.744 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.744 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.745 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.746 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.746 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.747 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.747 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.749 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.750 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.750 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.752 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.754 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.755 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.756 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.756 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.758 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.758 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.759 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.759 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.760 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.760 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.761 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.762 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.762 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.762 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.763 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.763 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.764 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.767 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.767 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.767 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.768 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.768 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.769 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.769 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.770 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.772 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.776 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.777 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.777 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.778 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.778 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.779 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.779 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.780 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.780 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.780 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.786 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.790 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.792 [error] Uncaught exception: EPIPE: broken pipe, write
